20 3083
06 3032
83 2932
04 2895
84 2894
30 2852
13 2817
05 2784
34 2759
26 2633
66 2516
11 2349
48 2305
12 2304
15 2223
69 2202
38 2198
81 2185
07 2184
01 2177
31 2146
09 2136
32 2130
19 2128
82 2126
16 2120
40 2118
46 2109
65 2107
71 2104
24 2093
64 2088
33 2079
86 2077
47 2067
79 2062
74 2057
68 2048
44 2043
73 2035
18 2021
21 2015
63 2002
39 1992
37 1978
25 1970
43 1969
52 1962
70 1954
87 1954
36 1954
58 1953
03 1928
23 1909
49 1908
89 1889
10 1868
45 1863
56 1857
41 1854
88 1846
42 1833
53 1826
54 1825
57 1810
67 1803
28 1784
51 1781
91 1777
72 1769
85 1749
77 1746
35 1727
61 1727
55 1725
02 1707
14 1704
60 1688
78 1681
50 1678
80 1669
29 1658
22 1648
17 1648
27 1609
08 1581
95 1572
62 1559
76 1538
94 1509
93 1508
59 1501
92 1287
